"agency codes",sname,areacode,district,pzoon,fzoon,mark
382083000Y,豐年國小,65000050,新莊區,全安里、瓊林里（1－12鄰）、海山里（1－18鄰）、國泰里（1－9、11－16鄰）、豐年里、泰豐里,"一、瓊林里（13－20鄰）、建安里（33、34鄰）【豐年、民安國小自由學區】 二、文衡里（2、3、9鄰）【豐年、新莊國小自由學區】",
382083500Y,光華國小,65000050,新莊區,光華里、光明里、民安里（17、18、23－27、30－33鄰）、光和里、光正里、光榮里、西盛里（6－11、13、20、21、23、24鄰）,"一、成德里（5－8、12－23鄰）、民有里（2－9、15、18－20鄰）、民安里（28、29鄰）【光華、民安國小自由學區】 二、西盛里（12鄰）【光華、樹林區文林國小自由學區】 三、四維里（19－22鄰）【光華、裕民國小自由學區】",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382079200Y,泰山國小,65000160,泰山區,"大科里（1－6、9－12鄰）、 黎明里(2-14、16-17)、山腳里、福泰里、楓樹里、福興里（1－18鄰）","一、全興里（1－7鄰）、同興里（1－12鄰）【泰山、義學、同榮國小自由學區】 二、同榮里（1－16、30鄰）【泰山、同榮國小自由學區】 三、福興里（19－25鄰）【泰山、義學國小自由學區】 四、大科里（7－8鄰）【泰山、林口區麗園國小自由學區】 五、黎明里1、15鄰【泰山、五股區德音國小自由學區】",黎明里(15鄰)105學年度起調整為泰山國小、五股區德音國小自由學區。
382081600Y,明志國小,65000160,泰山區,明志里、新明里、泰友里、貴子里、貴和里（1－32、39－42鄰）、貴賢里（1－8、15－27鄰）、大科里（13－16鄰）,"一、義仁里（21－29鄰）【明志、義學國小自由學區】 二、貴和里（33－38鄰）【明志、新莊區丹鳳國小自由學區】 三、貴賢里（9－14鄰）【明志、新莊區國泰國小自由學區】",
382085700Y,同榮國小,65000160,泰山區,同榮里（17－29鄰）、義學里,"一、全興里（1－7鄰）、同興里（1－12鄰）【同榮、義學、泰山國小自由學區】 二、同榮里（1－16、30鄰）【同榮、泰山國小自由學區】 三、同興里（13－24鄰）【同榮、義學國小自由學區】",
382090000Y,義學國小,65000160,泰山區,義仁里（1－20鄰）、全興里（8－25鄰）,"一、全興里（1－7鄰）、同興里（1－12鄰）【義學、泰山、同榮國小自由學區】 二、福興里（19－25鄰）【義學、泰山國小自由學區】 三、同興里（13－24鄰）【義學、同榮國小自由學區】 四、義仁里（21－29鄰）【義學、明志國小自由學區】 五、義仁里（30－39鄰）【義學、新莊區新泰、國泰國小自由學區】",義仁里30-39鄰增列新莊區國泰國小為自由學區。
382080000Y,五股國小,65000150,五股區,五龍里、陸一里、五股里、民義里、六福里、五福里、更寮里中興路三段所屬,"一、德音里（1－22鄰）【五股、德音國小自由學區】 二、成功里、成泰里【五股、成州國小自由學區】",
382085100Y,德音國小,65000150,五股區,德音里、水碓里、德泰里、福德里、貿商里,"一、德音里（1－22鄰）【德音、五股國小自由學區】 二、黎明里1、15鄰【泰山、德音國小自由學區】",黎明里(15鄰)105學年度起調整為泰山國小、五股區德音國小自由學區。
382080100Y,成州國小,65000150,五股區,觀音里、集福里、集賢里、成州里、成德里,成功里、成泰里【成州、五股國小自由學區】,
382080200Y,更寮國小,65000150,五股區,更尞里、興珍里,興珍里（33－37鄰）【更寮、新莊區興化國小自由學區】,開放全市自由學區。
382074900Y,八里國小,65000230,八里區,頂罟里（8－13鄰）、舊城里、訊塘里、荖阡里,下罟里【八里、長坑國小自由學區】,
382075000Y,長坑國小,65000230,八里區,長坑里,下罟里【長坑、八里國小自由學區】,開放為全市自由學區。
382075100Y,米倉國小,65000230,八里區,龍源里、米倉里（1－20鄰）,,開放為全市自由學區。
382087000Y,大崁國小,65000230,八里區,米倉里（21－24鄰）、大崁里、埤頭里、頂罟里（1－7鄰）,,
382080300Y,林口國小,65000170,林口區,東林里、林口里、西林里（1－10、12－13鄰、26鄰）、菁湖里、中湖里、湖北里,"一、瑞平里（1－4鄰）、太平里（1－5鄰）【林口、瑞平國小自由學區】 二、西林里27－35鄰【麗園、林口、東湖國小自由學區】",
382085200Y,麗園國小,65000170,林口區,東勢里、麗園里,"一、西林里27－35鄰【麗園、林口、東湖國小自由學區】 二、泰山區大科里（7－8鄰）【麗園、泰山區泰山國小自由學區】三、仁愛里（13-28鄰）【麗園、麗林國小自由學區】",
382086700Y,麗林國小,65000170,林口區,麗林里、仁愛里（13-28鄰除外）,仁愛里（13-28鄰）【麗林、麗園國小自由學區】,
382080400Y,南勢國小,65000170,林口區,南勢里（1－14鄰）、頂福里（1－4、13－14、16－17、19－20鄰）,"一、頂福里（7、18鄰）【南勢、嘉寶國小自由學區】 二、南勢里（28－29、32－40鄰）【南勢、新林國小自由學區】
三、 南勢里(30－31鄰)【新林、南勢、東湖國小自由學區】",
382080700Y,興福國小,65000170,林口區,下福里、嘉寶里（6－7鄰）、頂福里（8－12、15鄰）,,開放為全市自由學區。
382080500Y,嘉寶國小,65000170,林口區,嘉寶里（6、7鄰除外）、頂福里（5－6鄰）,頂福里（7、18鄰）【嘉寶、南勢國小自由學區】,開放為全市自由學區。
382080600Y,瑞平國小,65000170,林口區,瑞平里（5－10鄰）、太平里（6－15鄰）,瑞平里（1－4鄰）、太平里（1－5鄰）【瑞平、林口國小自由學區】,開放為全市自由學區。
382090400Y,頭湖國小,65000170,林口區,湖南里(1－8、19－31鄰),湖南里(9－18鄰)【頭湖、東湖國小自由學區】,
382090600Y,新林國小,65000170,林口區,南勢里（15－27鄰）,"一、 南勢里（28－29、32－40鄰）【南勢、新林國小自由學區】
二、 南勢里(30－31鄰)【新林、南勢、東湖國小自由學區】
",107學年度開始招生。
382090900Y,東湖國小,65000170,林口區,西林里(11、14－25、36－37鄰)、湖南里(32－48鄰),"一、 西林里(27－35鄰【麗園、林口、東湖國小自由學區】
二、 湖南里(9－18鄰【頭湖、東湖國小自由學區】
三、 南勢里(30－31鄰)【新林、南勢、東湖國小自由學區】
",111學年度開始招生。
